ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;MG;CAMPO BELO;HMAX COMBUSTIVEIS E LUBRIFICANTES LTDA; 17.756.002/0002-99;AVENIDA AFONSO PENA;1550;;CENTRO;37270-000;ETANOL;10/11/2021;5,499;;R$ / litro;BRANCA;2º semestre;SE
;RJ;PETROPOLIS;AUTO POSTO MECÂNICA CORONEL VEIGA LTDA.; 31.333.651/0001-27;RUA CORONEL VEIGA;259;;CENTRO;25655-150;GNV;13/07/2021;4,372;;R$ / m³;RAIZEN;2º semestre;SE
;RJ;DUQUE DE CAXIAS;GUERREIROS DE CAXIAS POSTO DE GASOLINA LTDA; 17.455.879/0001-69;AVENIDA DUQUE DE CAXIAS;641;;VILA ITAMARATI;25020-080;GASOLINA ADITIVADA;22/12/2021;7,196;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;RJ;CAMPOS DOS GOYTACAZES;POSTO LIDER LTDA; 28.890.267/0001-10;AVENIDA QUINZE DE NOVEMBRO;563;85;CAJU;28035-100;DIESEL S10;19/08/2021;4,699;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;BARUERI;PARQUE DOS CAMARGOS COM. VAREJ. DE COMBUSTÍVEIS LTDA.; 10.306.689/0001-30;ESTRADA VELHA  DE ITAPEVI;3602;;VILA MILITAR;06444-000;ETANOL;28/10/2021;4,779;;R$ / litro;RAIZEN;2º semestre;SE
;PA;SANTAREM;AUTO POSTO TAMBAU LTDA.; 84.192.434/0001-20;AVENIDA BORGES LEAL;1045;;PRAINHA;68005-130;DIESEL S10;07/12/2021;5,76;;R$ / litro;VIBRA ENERGIA;2º semestre;N
;SC;CONCORDIA;ABASTECEDORA DE COMBUSTIVEIS SANTA CLARA LTDA; 02.331.925/0001-40;RUA MARCELINO RAMOS,;10;ESQ.C/R-29 DE JULHO;CENTRO;89700-001;ETANOL;31/08/2021;5,499;;R$ / litro;MAXSUL;2º semestre;S
;MG;SETE LAGOAS;POSTO J LTDA; 22.365.258/0002-05;AVENIDA MARECHAL CASTELO BRANCO;1300;;SÃO JORGE;35701-242;GASOLINA ADITIVADA;06/09/2021;6,399;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;MAUA;AUTO POSTO NOVO OURO NEGRO LTDA; 12.030.552/0001-21;AVENIDA JOAO RAMALHO;446;;VILA NOEMIA;09371-905;DIESEL;08/08/2021;4,289;;R$ / litro;BRANCA;2º semestre;SE
;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;DIESEL S10;26/07/2021;4,639;;R$ / litro;RAIZEN;2º semestre;CO
